ticker,ciq_ticker,name,layer,currency,fwd_eps_curr,fwd_eps_prior,fwd_eps_prior_date,fwd_pe_5y_median,note
000660.KS,KOSE:A000660,SK Hynix,hbm,KRW,,,,,
005930.KS,KOSE:A005930,Samsung Electronics,hbm,KRW,,,,,
TSM,TSEC:2330,Taiwan Semiconductor,foundry,TWD,,,,,
NVDA,NasdaqGS:NVDA,NVIDIA,gpu,USD,,,,,
GOOGL,NasdaqGS:GOOGL,Alphabet (TPU),hyperscalers,USD,,,,,
MU,NasdaqGS:MU,Micron Technology,hbm,USD,,,,,
GFS,NasdaqGS:GFS,GlobalFoundries,foundry,USD,,,,,
INTC,NasdaqGS:INTC,Intel,foundry,USD,,,,,
2449.TW,TSEC:2449,King Yuan Electronics (KYEC),packaging,TWD,,,,,
AMKR,NasdaqGS:AMKR,Amkor Technology,packaging,USD,,,,,
ASX,TSEC:3711,ASE Technology,packaging,TWD,,,,,
8035.T,TSE:8035,Tokyo Electron,wfe,JPY,,,,,
AMAT,NasdaqGS:AMAT,Applied Materials,wfe,USD,,,,,
ASML,ENXTAM:ASML,ASML,wfe,EUR,,,,,
KLAC,NasdaqGS:KLAC,KLA Corporation,wfe,USD,,,,,
LRCX,NasdaqGS:LRCX,Lam Research,wfe,USD,,,,,
AMD,NasdaqGS:AMD,Advanced Micro Devices,gpu,USD,,,,,
AVGO,NasdaqGS:AVGO,Broadcom,gpu,USD,,,,,
MRVL,NasdaqGS:MRVL,Marvell Technology,gpu,USD,,,,,
300308.SZ,SZSE:300308,InnoLight Technology,optics,CNY,,,,,
300502.SZ,SZSE:300502,Eoptolink,optics,CNY,,,,,
COHR,NYSE:COHR,Coherent,optics,USD,,,,,
FN,NYSE:FN,Fabrinet,optics,USD,,,,,
LITE,NasdaqGS:LITE,Lumentum,optics,USD,,,,,
MXL,NasdaqGS:MXL,MaxLinear,optics,USD,,,,,
2345.TW,TSEC:2345,Accton Technology,switches,TWD,,,,,
ANET,NYSE:ANET,Arista Networks,switches,USD,,,,,
CLS,TSX:CLS,Celestica,switches,CAD,,,,,
CSCO,NasdaqGS:CSCO,Cisco Systems,switches,USD,,,,,
HPE,NYSE:HPE,Hewlett Packard Enterprise,switches,USD,,,,,
CEG,NasdaqGS:CEG,Constellation Energy,power,USD,,,,,
ETN,NYSE:ETN,Eaton,power,USD,,,,,
GEV,NYSE:GEV,GE Vernova,power,USD,,,,,
GNRC,NYSE:GNRC,Generac,power,USD,,,,,
HUBB,NYSE:HUBB,Hubbell,power,USD,,,,,
LEU,NYSEAM:LEU,Centrus Energy,power,USD,,,,,
OKLO,NYSE:OKLO,Oklo Inc.,power,USD,,,,,
PWR,NYSE:PWR,Quanta Services,power,USD,,,,,
CAT,NYSE:CAT,Caterpillar,power,USD,,,,,
CMI,NYSE:CMI,Cummins,power,USD,,,,,
3017.TW,TSEC:3017,Asia Vital Components (AVC),cooling,TWD,,,,,
3324.TWO,GTSM:3324,Auras Technology,cooling,TWD,,,,,
3653.TW,TSEC:3653,Jentech Precision Industrial,cooling,TWD,,,,,
MOD,NYSE:MOD,Modine Manufacturing,cooling,USD,,,,,
NVT,NYSE:NVT,nVent Electric,cooling,USD,,,,,
SU.PA,ENXTPA:SU,Schneider Electric,cooling,EUR,,,,,
VRT,NYSE:VRT,Vertiv,cooling,USD,,,,,
AMZN,NasdaqGS:AMZN,Amazon,hyperscalers,USD,,,,,
META,NasdaqGS:META,Meta Platforms,hyperscalers,USD,,,,,
MSFT,NasdaqGS:MSFT,Microsoft,hyperscalers,USD,,,,,
ORCL,NYSE:ORCL,Oracle,hyperscalers,USD,,,,,
CRWV,NasdaqGS:CRWV,CoreWeave,neoclouds,USD,,,,,
NBIS,NasdaqGS:NBIS,Nebius Group,neoclouds,USD,,,,,
CRM,NYSE:CRM,Salesforce,software,USD,,,,,
NOW,NYSE:NOW,ServiceNow,software,USD,,,,,
PLTR,NasdaqGS:PLTR,Palantir,software,USD,,,,,
SNOW,NYSE:SNOW,Snowflake,software,USD,,,,,
CDNS,NasdaqGS:CDNS,Cadence Design Systems,eda,USD,,,,,
SIEGY,DB:SIE,Siemens (EDA),eda,EUR,,,,,
SNPS,NasdaqGS:SNPS,Synopsys,eda,USD,,,,,
3037.TW,TSEC:3037,Unimicron Technology,substrates,TWD,,,,,
4062.T,TSE:4062,Ibiden,substrates,JPY,,,,,
6967.T,TSE:6967,Shinko Electric,substrates,JPY,,,,,
8046.TW,TSEC:8046,Nan Ya PCB,substrates,TWD,,,,,
ATS.VI,WBAG:ATS,AT&S,substrates,EUR,,,,,
